product_code,product_name,dmo_code,dmo_url,dmo_fiyat_try
C13T05B240,EPSON C13T05B240 C13T05B240 50000 CYAN ORIJINAL Toner Kartuşu,76632,https://www.dmo.gov.tr/Katalog/Urun/Detay/4350033_918921,16597.52
C13T05B340,EPSON C13T05B340 C13T05B340 50000 MAGENTA ORIJINAL Toner Kartuşu,76633,https://www.dmo.gov.tr/Katalog/Urun/Detay/4350033_918922,16597.52
C13T05B440,EPSON C13T05B440 C13T05B440 50000 YELLOW ORIJINAL Toner Kartuşu,76635,https://www.dmo.gov.tr/Katalog/Urun/Detay/4350033_918182,16597.52
C13T08G100,EPSON C13T08G100 WorkForce Enterprise AM-C5000-C6000 Black 50k 50000 SİYAH ORIJINAL Toner Kartuşu,105813,https://www.dmo.gov.tr/Katalog/Urun/Detay/4335849_1096860,8980.85
C13T08G200,EPSON C13T08G200 WorkForce Enterprise AM-C5000-C6000 Cyan 30k 30000 MAVİ (CYAN) ORIJINAL Toner Kartuşu,105814,https://www.dmo.gov.tr/Katalog/Urun/Detay/4335849_1096861,8980.85
C13T08G300,EPSON C13T08G300 WorkForce Enterprise AM-C5000-C6000 Magenta 30k 30000 KIRMIZI (MAGENTA) ORIJINAL Toner Kartuşu,105815,https://www.dmo.gov.tr/Katalog/Urun/Detay/4335849_1096862,8980.85
C13T08G400,EPSON C13T08G400 WorkForce Enterprise AM-C5000-C6000 Yellow 30k 30000 SARI (YELLOW) ORIJINAL Toner Kartuşu,105816,https://www.dmo.gov.tr/Katalog/Urun/Detay/4335849_1096863,8980.85
C13T08H100,EPSON C13T08H100 WorkForce Enterprise AM-C4000 Black 50k 50000 SİYAH ORIJINAL Toner Kartuşu,105809,https://www.dmo.gov.tr/Katalog/Urun/Detay/4335849_1096856,8980.85
C13T08H200,EPSON C13T08H200 WorkForce Enterprise AM-C4000 Cyan 30k 30000 MAVİ (CYAN) ORIJINAL Toner Kartuşu,105810,https://www.dmo.gov.tr/Katalog/Urun/Detay/4335849_1096857,8980.85
C13T08H300,EPSON C13T08H300 WorkForce Enterprise AM-C4000 Magenta 30k 30000 KIRMIZI (MAGENTA) ORIJINAL Toner Kartuşu,105811,https://www.dmo.gov.tr/Katalog/Urun/Detay/4335849_1096858,8980.85
C13T08H400,EPSON C13T08H400 WorkForce Enterprise AM-C4000 Yellow 30k 30000 SARI (YELLOW) ORIJINAL Toner Kartuşu,105812,https://www.dmo.gov.tr/Katalog/Urun/Detay/4335849_1096859,8980.85
C13T11D240,EPSON C13T11D240 WF-C5390/WF-C5890 XL CYAN 5k 5000 MAVİ (CYAN) ORIJINAL Toner Kartuşu,105818,https://www.dmo.gov.tr/Katalog/Urun/Detay/4598750_1096865,3410.45
C13T11D340,EPSON C13T11D340 WF-C5390/WF-C5890 XL MAGENTA 5k 5000 KIRMIZI (MAGENTA) ORIJINAL Toner Kartuşu,105819,https://www.dmo.gov.tr/Katalog/Urun/Detay/4350033_1096866,3410.45
C13T11D440,EPSON C13T11D440 WF-C5390/WF-C5890 XL YELLOW 5k 5000 SARI (YELLOW) ORIJINAL Toner Kartuşu,105820,https://www.dmo.gov.tr/Katalog/Urun/Detay/4350033_1096867,3410.45
C13T11E140,EPSON C13T11E140 WF-C5390/WF-C5890 XXL Black 10k 10000 SİYAH ORIJINAL Toner Kartuşu,105817,https://www.dmo.gov.tr/Katalog/Urun/Detay/4350033_1096864,4774.63
C13T12F140,EPSON C13T12F140 WF-M5399/5899 Series Ink Cartridge Black 40 K 40000 SİYAH ORIJINAL Toner Kartuşu,112723,https://www.dmo.gov.tr/Katalog/Urun/Detay/4335849_1152643,9662.94
C13T945240,EPSON C13T945240 MÜREKKEP-KARTUŞ 5000 CYAN ORIJINAL Toner Kartuşu,40876,https://www.dmo.gov.tr/Katalog/Urun/Detay/4335849_262116,3183.09
C13T945340,EPSON C13T945340 MÜREKKEP-KARTUŞ 5000 CYAN ORIJINAL Toner Kartuşu,40877,https://www.dmo.gov.tr/Katalog/Urun/Detay/4335849_262117,3183.09
C13T945440,EPSON C13T945440 MÜREKKEP-KARTUŞ 5000 YELLOW ORIJINAL Toner Kartuşu,40881,https://www.dmo.gov.tr/Katalog/Urun/Detay/4335849_262118,3183.09
C13T946140,EPSON C13T946140 C13T9A6140 10000 SİYAH-BEYAZ ORIJINAL Toner Kartuşu,40883,https://www.dmo.gov.tr/Katalog/Urun/Detay/4335849_265920,3524.13
DS-970,EPSON DS-970 600x600 dpi ( A4 ) 85 syf/dk USB 3.0 B11B251401 Tarayıcı,57205,https://www.dmo.gov.tr/Katalog/Urun/Detay/4350033_610398,41493.81
trial321,trial product,1000000,null,0
